index,product,cip,expected profit
4068,None,5.551123595505615,0
4542,None,8.415986394557821,0
3677,None,5.895834684401801,0
3461,None,8.415986394557821,0
1590,None,8.415986394557821,0
1979,None,7.397314049942028,0
3157,None,7.89819975382591,0
2260,None,5.551123595505615,0
1971,None,5.551123595505615,0
4445,None,8.415986394557821,0
3873,None,7.407367251250428,0
2723,None,5.551123595505615,0
1270,None,8.415986394557821,0
1698,None,6.805980025518848,0
4784,None,7.637707191446687,0
4421,None,5.551123595505615,0
1254,None,7.625873226581829,0
3186,None,5.551123595505615,0
3639,None,7.58743002885535,0
4947,None,6.540771944579497,0
2490,None,5.551123595505615,0
1168,None,8.415986394557821,0
3973,None,5.551123595505615,0
1302,None,5.117443820360797,0
2746,None,8.415986394557821,0
4405,None,5.900544725439238,0
1400,None,6.1079427237405985,0
1455,None,5.551123595505615,0
3306,None,6.009357677804697,0
3315,None,5.551123595505615,0
4369,None,7.6863696300440045,0
4006,None,8.415986394557821,0
3548,None,5.551123595505615,0
1527,None,7.812052453922306,0
1327,None,8.415986394557821,0
2898,None,7.279815297289241,0
1476,None,5.551123595505615,0
2926,None,7.947439819205383,0
2253,None,6.6366623218668455,0
4468,None,5.551123595505615,0
2911,None,7.562561488812014,0
1164,None,5.594098456676352,0
3072,None,4.554430375112052,0
1082,None,6.527618714279154,0
2692,None,8.415986394557821,0
4621,None,6.668840192209612,0
4746,None,8.415986394557821,0
3445,None,5.551123595505615,0
1450,None,5.551123595505615,0
1440,None,7.6286642227876476,0
1195,None,5.551123595505615,0
4271,None,5.551123595505615,0
1208,None,7.59778913739159,0
4796,None,7.805893009423807,0
2163,None,7.875828545121225,0
2334,None,5.551123595505615,0
4977,None,5.551123595505615,0
3056,None,5.551123595505615,0
3110,None,5.551123595505615,0
2960,None,5.534640974911797,0
2717,None,5.815215257255245,0
3087,None,5.551123595505615,0
2869,None,4.839645104790441,0
2998,None,5.498640672631346,0
2613,None,5.551123595505615,0
4896,None,5.718831687119562,0
2036,None,8.415986394557821,0
3910,None,7.759076933355354,0
4083,None,5.551123595505615,0
4889,None,5.551123595505615,0
2708,None,8.415986394557821,0
3993,None,7.799001379309209,0
4286,None,6.118736564130654,0
1536,None,7.4268866437451155,0
4566,None,6.377985746373659,0
2115,None,2.0416666666666656,0
1668,None,7.303454623219191,0
4526,None,5.551123595505615,0
2792,None,8.415986394557821,0
3318,None,7.716392784015291,0
1857,None,5.684600139564204,0
3673,None,5.550980567553792,0
1436,None,6.770793304120645,0
4783,None,2.1249409187817996,0
2683,None,5.551123595505615,0
4495,None,6.982844164319698,0
2751,None,7.563638263116713,0
4587,None,4.858624700026863,0
2033,None,5.551123595505615,0
3305,None,8.415986394557821,0
2952,None,6.0173090676866385,0
3510,None,2.0416666666666656,0
3286,None,6.163198617894697,0
